"ARVO","NIMI_FI","NIMI_SV","NIMI_EN","KUVAUS_FI","LYHYTNIMI_FI","KUVAUS_SV","LYHYTNIMI_SV","KUVAUS_EN","LYHYTNIMI_EN","ALKUPVM","LOPPUPVM"
38411,"Kotitalousopetus (Talouskoulu)","Undervisning i huslig ekonomi (hushållskolan)","Domestic education","HUOM. Ei viralliseen luokitukseen kuuluva koodi. Kotitalousopetus ei ole tutkintoon johtava koulutus. ",,,,,,27.05.2013,
"039999","Valmentava ja kuntouttava opetus ja ohjaus","Undervisning och handledning i tränings- och rehabiliteringssyfte",,"HUOM. Ei viralliseen luokitukseen kuuluva koodi. ",,,,,,01.01.2001,
"039996","Ammatilliseen peruskoulutukseen ohjaava ja valmistava koulutus","Utbildning som orienterar och förbereder för grundläggande yrkesutbildning",,"HUOM. Ei viralliseen luokitukseen kuuluva koodi. ",,,,,,01.08.2010,
100000,"Esiopetus","Förskoleundervisning","Pre-Primary Education",,"Esiopetus",,"Förskoleundervisning",,"Pre-Primary Education",01.01.1997,
110000,"Esiopetus","Förskoleundervisning","Pre-Primary Education",,"Esiopetus",,"Förskoleundervisning",,"Pre-Primary Education",01.01.1997,
110100,"Peruskoulun esiopetus","Förskoleundervisning i grundskolan","Pre-Prim. Ed in Compr. Schools",,"Peruskoulun esiopetus",,"Förskoleunderv. i grundskolan",,"Pre-Primary Education in Comprehensive Schools",01.01.1997,
110200,"Päiväkodin esiopetus","Förskoleundervisning i daghem","Pre-Prim. Ed in Day-Care Cent.",,"Päiväkodin esiopetus",,"Förskoleunderv. i daghem",,"Pre-Primary Education in Day-Care Centres",01.01.1997,
101000,"Yleissivistävä koulutus, alempi perusaste","Allmänbildande utbildning på lägre grundnivå","General Education, Level 1",,"Yleissiv. koulutus, 1-aste",,"Allm.bild. utb., nivå 1",,"General Education, Primary Education",01.01.1997,
101100,"Kansakoulu","Folkskola","Primary School",,"Kansakoulu",,"Folkskola",,"Primary School",01.01.1997,
101151,"Kansakoulu","Folkskola","Primary School",,"Kansakoulu",,"Folkskola",,"Primary School",01.01.1997,
101152,"Kansalaiskoulu","Medborgarskola","Civic School",,"Kansalaiskoulu",,"Medborgarskola",,"Civic School",01.01.1997,
101900,"Muu yleissivistävä koulutus, alempi perusaste","Annan allmänbildande utbildning på lägre grundnivå","Other General Education, Lvl 1",,"Muu yleissiv. koulutus, 1-aste",,"Ann. allm.bild. utb., nivå 1",,"Other General Education, Primary Education",01.01.1997,
101999,"Muu tai tuntematon yleissivistävä koulutus, alempi perusaste","Annan eller okänd allmänbildande utbildning på lägre grundnivå","Other General Education, Lvl 1",,"Muu yleissiv. koulutus, 1-aste",,"Ann. allm.bild. utb., nivå 1",,"Other or Unknown General Education, Primary Education",01.01.1997,
201000,"Yleissivistävä koulutus, ylempi perusaste","Allmänbildande utbildning på högre grundnivå","General Education, Level 2",,"Yleissiv. koulutus, 2-aste",,"Allm.bild. utb., nivå 2",,"General Education, Lower Secondary Education",01.01.1997,
201100,"Peruskoulu","Grundskola","Comprehensive School",,"Peruskoulu",,"Grundskola",,"Comprehensive School",01.01.1997,
201101,"Peruskoulu","Grundskola","Comprehensive School",,"Peruskoulu",,"Grundskola",,"Comprehensive School",01.01.1997,
201200,"Keskikoulu","Mellanskola","Middle School",,"Keskikoulu",,"Mellanskola",,"Middle School",01.01.1997,
201251,"Keskikoulu","Mellanskola","Middle School",,"Keskikoulu",,"Mellanskola",,"Middle School",01.01.1997,
201900,"Muu yleissivistävä koulutus, ylempi perusaste","Annan allmänbildande utbildning på högre grundnivå","Other General Education, Lvl 2",,"Muu yleissiv. koulutus, 2-aste",,"Ann. allm.bild. utb., nivå 2",,"Other General Education, Lower Secondary Education",01.01.1997,
201999,"Muu tai tuntematon yleissivistävä koulutus, ylempi perusaste","Annan eller okänd allmänbildande utbildning på högre grundnivå","Other General Education, Lvl 2",,"Muu yleissiv. koulutus, 2-aste",,"Ann. allm.bild. utb., nivå 2",,"Other or Unknown General School, Lower Secondary Education",01.01.1997,
301000,"Ylioppilastutkinto","Studentexamen","Matriculation Examination",,"Ylioppilastutkinto",,"Studentexamen",,"Matriculation Examination",01.01.1997,
301100,"Ylioppilastutkinto","Studentexamen","Matriculation Examination",,"Ylioppilastutkinto",,"Studentexamen",,"Matriculation Examination",01.01.1997,
301101,"Ylioppilastutkinto","Studentexamen","Matriculation Examination",,"Ylioppilastutkinto",,"Studentexamen",,"Matriculation Examination",01.01.1997,
301102,"IB-tutkinto (International Baccalaureate)","IB-examen (International Baccalaureate)","IB Examination",,"IB-tutkinto",,"IB-examen (Intern. Bacc.)",,"International Baccalaureate Examination",01.01.1997,
301103,"Reifeprüfung-tutkinto","Reifeprüfung-examen","Reifeprüfung Examination",,"Reifeprüfung-tutkinto",,"Reifeprüfung-examen",,"Reifeprüfung Examination",01.01.1997,
301104,"EB-tutkinto (European Baccalaureate)","EB-examen (European Baccalaureate)","EB Examination",,"EB-tutkinto",,"EB-examen (European Bacc.)",,"European Baccalaureate Examination",01.01.2009,
301199,"Muu tai tuntematon ylioppilastutkinto","Annan eller okänd studentexamen","Other Matriculation Exam.",,"Muu ylioppilastutkinto",,"Ann. studentex.",,"Other or Unknown Matriculation Examination",01.01.1997,
309000,"Muu yleissivistävä koulutus, keskiaste","Annan allmänbildande utbildning på mellannivå","Other General Education, Lvl 3",,"Muu yleissiv. koulutus, 3-aste",,"Ann. allm.bild. utb., mellann.",,"Other General Education, Upper Secondary Level Education",01.01.1997,
309900,"Muu yleissivistävä koulutus, keskiaste","Annan allmänbildande utbildning på mellannivå","Other General Education, Lvl 3",,"Muu yleissiv. koulutus, 3-aste",,"Ann. allm.bild. utb., nivå 3",,"Other General Education, Upper Secondary Level Education",01.01.1997,
309901,"Gymnasieexamen (Åland)","Gymnasieexamen (Åland)","Upper Sec. Level Exam. (Åland)",,"Gymnasieexamen (Åland)",,"Gymnasieexamen (Åland)",,"Upper Secondary General Level Examination (Åland)",01.01.2002,
309999,"Muu tai tuntematon yleissivistävä koulutus, keskiaste","Annan eller okänd allmänbildande utbildning på mellannivå","Other General Education, Lvl 3",,"Muu yleissiv. koulutus, 3-aste",,"Ann. allm.bild. utb., nivå 3",,"Other or Unknown General Education, Upper Secondary Level Education",01.01.1997,
311000,"Opettajankoulutus, keskiaste","Lärarutbildning på mellannivå","Teacher Education, Level 3",,"Opettajankoulutus, 3-aste",,"Lärarutb., nivå 3",,"Teacher Education, Upper Secondary Level Education",01.01.1997,
311100,"Opettajankoulutus, keskiaste","Lärarutbildning på mellannivå","Teacher Education, Level 3",,"Opettajankoulutus, 3-aste",,"Lärarutb., nivå 3",,"Teacher Education, Upper Secondary Level Education",01.01.1997,
311101,"Liikenneopettaja","Trafiklärare","Driving Instructor",,"Liikenneopettaja",,"Trafiklärare",,"Driving Instructor",01.01.1997,
311199,"Muu tai tuntematon opettajankoulutus, keskiaste","Annan eller okänd lärarutbildning på mellannivå","Other Teacher Education, Lvl 3",,"Muu opettajankoulutus, 3-aste",,"Ann. lärarutb., nivå 3",,"Other or Unknown Teacher Education, Upper Secondary Level Education",01.01.1997,
317000,"Opettajankoulutusalan erikoisammattitutkinto","Specialyrkesexamen inom lärarutbildningsområdet","Teacher Education, SQ",,"Opettajankoulutusalan eat",,"Sp.y.ex. inom lärarutbild.om.",,"Teacher Education, Specialist Qualification",01.01.2009,
317100,"Opettajankoulutus, erikoisammattitutkinto","Lärarutbildning, specialyrkesexamen","Teacher Education, SQ",,"Opettajankoulutus, eat",,"Lärarutb., sp.y.ex.",,"Teacher Education, Specialist Qualification",01.01.2009,
317101,"Liikenneopettajan erikoisammattitutkinto","Trafiklärare, specialyrkesexamen","Driving Instructors, SQ",,"Liikenneopettajan eat",,"Trafiklärare, sp.y.ex.",,"Driving Instructors, Specialist Qualification",01.01.2009,
321000,"Taidealan sekä käsi- ja taideteollisuuden peruskoulutus, keskiaste","Grundutbildning i konst samt hantverk och konstindustri på mellannivå","VET in Arts, Crafts, Lvl 3",,"Taideal,käsiteol perusk,3-aste",,"Gr.utb., konst o hantverk, n-3",,"Vocational Education and Training in Arts, Crafts and Design, Upper Secondary Level Education",01.01.1997,
321100,"Artesaani, käsi- ja taideteollisuuden peruskoulutus","Artesan, grundutbildning inom hantverk och konstindustri","Artisan, VET, Crafts and Des.",,"Artesaani, käsi-taidet. perusk",,"Artesan, gr.utb., hantverk",,"Artisan, Vocational Education and Training in Crafts and Design",01.01.1997,
321101,"Käsi- ja taideteollisuusalan perustutkinto","Grundexamen inom hantverk och konstindustri","Artisan, Crafts and Design, VQ",,"Käsi-taide perust",,"Gr.ex., hantverk",,"Artisan, Crafts and Design, Vocational Qualification",01.01.1997,
321151,"Artesaani, graafinen ala: piirtäjä, käsi- ja taideteollisuus","Artesan, grafiska branschen: ritare, hemslöjd och konstindustri","Artisan, Graphics",,"Artesaani, graafinen ala",,"Artesan, grafiska branschen",,"Artisan, Graphics",01.01.1997,
321152,"Artesaani, kiviseppä: kiviseppä, käsi- ja taideteollisuus","Artesan, stenhuggare: stenhuggare, hemslöjd och konstindustri","Artisan, Stone Cutter",,"Artesaani, kiviseppä",,"Artesan, stenhuggare",,"Artisan, Stone Cutter",01.01.1997,
321153,"Artesaani, kultasepänala","Artesan, guldsmedskonst","Artisan, Goldsmith",,"Artesaani, kultasepänala",,"Artesan, guldsmedskonst",,"Artisan, Goldsmith",01.01.1997,
321154,"Artesaani, kutoja: kutoja, käsi- ja taideteollisuus","Artesan, vävare: vävare, hemslöjd och konstindustri","Artisan, Weaver",,"Artesaani, kutoja",,"Artesan, vävare",,"Artisan, Weaver",01.01.1997,
321155,"Artesaani, maalari: maalari, käsi- ja taideteollisuus","Artesan, målare: målare, hemslöjd och konstindustri","Artisan, Painter",,"Artesaani, maalari",,"Artesan, målare",,"Artisan, Painter",01.01.1997,
321156,"Artesaani, metalliseppä: metalliseppä, käsi- ja taideteollisuus","Artesan, smed: smed, hemslöjd och konstindustri","Artisan, Metalsmith",,"Artesaani, metalliseppä",,"Artesan, smed",,"Artisan, Metalsmith",01.01.1997,
321157,"Artesaani, ompelija: ompelija, käsi- ja taideteollisuus","Artesan, sömmare: sömmare, hemslöjd och konstindustri","Artisan, Dressmaker",,"Artesaani, ompelija",,"Artesan, sömmare",,"Artisan, Dressmaker",01.01.1997,
321158,"Artesaani, puuseppä: puuseppä, käsi- ja taideteollisuus","Artesan, snickare: snickare, hemslöjd och konstindustri","Artisan, Joiner",,"Artesaani, puuseppä",,"Artesan, snickare",,"Artisan, Joiner",01.01.1997,
321159,"Artesaani, rakentaja: rakentaja, käsi- ja taideteollisuus","Artesan, bygghantverkare: bygghantverkare, hemslöjd och konstindustri","Artisan, Builder",,"Artesaani, rakentaja",,"Artesan, bygghantverkare",,"Artisan, Builder",01.01.1997,
321160,"Artesaani, saamenkäsityöntekijä: saamenkäsityöntekijä","Artesan, sameslöjdare: sameslöjdare","Artisan, Sami Crafts Maker",,"Artesaani, saamenkäsityöntek.",,"Artesan, sameslöjdare",,"Artisan, Sami Crafts Maker",01.01.1997,
321161,"Artesaani, savenvalaja: savenvalaja, käsi- ja taideteollisuus","Artesan, keramiker: keramiker, hemslöjd och konstindustri","Artisan, Potter",,"Artesaani, savenvalaja",,"Artesan, keramiker",,"Artisan, Potter",01.01.1997,
321199,"Artesaani, muu tai tuntematon ala","Artesan, annat eller okänt specialområde","Artisan, Other Field",,"Artesaani, muu ala",,"Artesan, annat spec.omr.",,"Artisan, Other or Unknown Field",01.01.1997,
321200,"Musiikin peruskoulutus","Grundutbildning i musik","VET in Music",,"Musiikin peruskoulutus",,"Grundutb. i musik",,"Vocational Education and Training in Music",01.01.1997,
321201,"Pianonvirittäjä","Pianostämmare","Piano Tuner, VQ",,"Pianonvirittäjä",,"Pianostämmare",,"Piano Tuner, Vocational Qualification",01.01.1997,
321202,"Kirkkomuusikko","Kyrkomusiker","Church Organist, VQ",,"Kirkkomuusikko",,"Kyrkomusiker",,"Church Organist, Vocational Qualification",01.01.1997,
321203,"Tanssimuusikko","Dansmusiker","Dance Musician, VQ",,"Tanssimuusikko",,"Dansmusiker",,"Dance Musician, Vocational Qualification",01.01.1997,
321204,"Musiikkialan perustutkinto: musiikin perustutkinto","Musik, grundexamen","Music, VQ",,"Musiikkialan perustutk",,"Musik, gr.ex.",,"Music, Vocational Qualification",01.01.1998,
321251,"Ortodoksisen kirkon kanttori","Kantorutbildning inom ortodoxa kyrkan","Univ. Dipl. for Orthod. Cantor",,"Ortodoksisen kirkon kanttori",,"Kantorutb., ortodoxa kyrkan",,"University Diploma for Orthodox Cantor",01.01.1997,
321252,"Sotilassoittaja","Militärmusikerexamen","Military Musician",,"Sotilassoittaja",,"Militärmusikerexamen",,"Military Musician",01.01.1997,
321299,"Muu tai tuntematon musiikin peruskoulutus","Annan eller okänd grundutbildning i musik","Other VET in Music",,"Muu musiikin peruskoulutus",,"Ann. gr.utb., musik",,"Other or Unknown Vocational Education and Training in Music",01.01.1997,
321300,"Kuvataiteen peruskoulutus","Grundutbildning i bildkonst","VET in Fine Arts",,"Kuvataiteen peruskoulutus",,"Grundutb. i bildkonst",,"Vocational Education and Training in Fine Arts",01.01.1997,
321301,"Kuvallisen ilmaisun perustutkinto","Visuell framställning, grundexamen","Visual Expression, VQ",,"Kuvallisen ilmaisun perustutk",,"Visuell framställning, gr.ex.",,"Visual Expression, Vocational Qualification",01.01.2001,
321351,"Kuvaamataiteilija","Bildkonstnär","Visual Artist",,"Kuvaamataiteilija",,"Bildkonstnär",,"Visual Artist",01.01.1997,
321399,"Muu tai tuntematon kuvataiteen peruskoulutus","Annan eller okänd grundutbildning i bildkonst","Other VET in Fine Arts",,"Muu kuvataiteen peruskoulutus",,"Ann. gr.utb., bildkonst",,"Other or Unknown Vocational Education and Training in Fine Arts",01.01.1997,
321500,"Teatteri- ja tanssialan peruskoulutus","Grundutbildning inom teater och dans","VET in Theatre and Dance",,"Teatteri- ja tanssialan perusk",,"Grundutb., teater o dans",,"Vocational Education and Training in Theatre and Dance",01.01.1997,
321501,"Tanssialan perustutkinto: tanssija","Dans, grundexamen: dansare","Dance, VQ",,"Tanssialan perustutk",,"Dans, gr.ex.",,"Dance, Vocational Qualification",01.01.1997,
321599,"Muu tai tuntematon teatteri- ja tanssialan peruskoulutus","Annan eller okänd grundutbildning inom teater och dans","Other VET in Theatre and Dance",,"Muu teatteri-tanssialan perusk",,"Ann. gr.utb., teater o dans",,"Other or Unknown Vocational Education and Training in Theatre and Dance",01.01.1997,
321600,"Viestintäalan peruskoulutus","Grundutbildning inom mediekultur","VET in Communications",,"Viestintäalan peruskoulutus",,"Grundutb. inom mediekultur",,"Vocational Education and Training in Communications",01.01.1997,
321601,"Viestintäalan perustutkinto","Mediekultur, grundexamen","Communications, VQ",,"Viestintäalan perustutk",,"Mediekultur, grundexamen",,"Communications, Vocational Qualification",01.01.1997,
321602,"Audiovisuaalisen viestinnän perustutkinto","Audiovisuell kommunikation, grundexamen","Audiovisual Communication, VQ",,"Audiovis. viestinnän perustutk",,"Audiovisuell kommunik., gr.ex.",,"Audiovisual Communication, Vocational Qualification",01.01.2001,
321699,"Muu tai tuntematon viestintäalan peruskoulutus","Annan eller okänd grundutbildning inom mediekultur","Other VET in Communications",,"Muu viestintäalan peruskoul",,"Ann. gr.utb., mediekultur",,"Other or Unknown Vocational Education and Training in Communications",01.01.1997,
321900,"Muu taidealan sekä käsi- ja taideteollisuuden peruskoulutus","Annan grundutbildning i konst samt hantverk och konstindustri","Other VET in Arts and Crafts",,"Muu taideala,käsiteoll. perusk",,"Ann. grundutb. konst, hantverk",,"Other Vocational Education and Training in Arts, Crafts and Design",01.01.1997,
321901,"Viittomakielisen ohjauksen perustutkinto","Teckenspråkshandledning, grundexamen","Sign Language Instruction, VQ",,"Viittomakielisen ohj. perust.",,"Teckenspråkshandledn., gr.ex.",,"Sign Language Instruction, Vocational Qualification",01.01.2001,
321902,"Sirkusalan perustutkinto","Cirkusbranschen, grundexamen","Circus Artist, FQ",,"Sirkusalan perust.",,"Cirkusbranschen, gr.ex.",,"Circus Artist, Further Qualification",01.01.2006,
321951,"Graafisen suunnittelun ammattikoulutus","Grafisk planering, yrkesutbildning","Graphic Design, VE",,"Graafisen suunn. ammattikoul",,"Grafisk planering, yrkesutb.",,"Graphic Design, Vocational Education and Training",01.01.1997,
321952,"Koristeveistäjä","Finsnickare","Ornamental Wood Carver",,"Koristeveistäjä",,"Finsnickare",,"Ornamental Wood Carver",01.01.1997,
321953,"Mainospiirtäjä","Reklamtecknare","Advertising Designer",,"Mainospiirtäjä",,"Reklamtecknare",,"Advertising Designer",01.01.1997,
321954,"Pukusuunnittelun ammattikoulutus","Dräktdesign, yrkesutbildning","Fashion Design, VE",,"Pukusuunnittelun ammattikoul",,"Dräktdesign, yrkesutb.",,"Fashion Design, Vocational Education and Training",01.01.1997,
321955,"Valokuvausalan ammattikoulutus","Fotograferingsbransch, yrkesutbildning","Photography, VE",,"Valokuvausalan ammattikoul",,"Fotograf.bransch, yrkesutb.",,"Photography, Vocational Education and Training",01.01.1997,
321956,"Käyttötekniikan peruskurssi","Grundkurs i driftsteknik","Basic Course in Workshop Techn",,"Käyttötekniikan peruskurssi",,"Grundkurs i driftsteknik",,"Basic Course in Workshop Technology",01.01.1997,
321957,"Tarkkailijakurssi","Kontrollantkurs","Technical Operator",,"Tarkkailijakurssi",,"Kontrollantkurs",,"Technical Operator",01.01.1997,
321958,"Television kuvaussihteeri","Tv-scripta","TV Producer's Assistant",,"Television kuvaussihteeri",,"Tv-scripta",,"Television Producer's Assistant",01.01.1997,
321999,"Muu tai tuntematon taidealan sekä käsi- ja taideteollisuuden peruskoulutus","Annan eller okänd grundutbildning i konst samt hantverk och konstindustri","Other VET in Arts, Crafts",,"Muu taide, käsiteoll. perusk",,"Ann. gr.utb., konst, hantverk",,"Other or Unknown Vocational Education and Training in Arts, Crafts and Design",01.01.1997,
324000,"Taidealan sekä käsi- ja taideteollisuuden ammattitutkinto","Yrkesexamen i konst samt hantverk och konstindustri","FQ in Arts, Crafts, Design",,"Taideala, käsiteoll. at",,"Y.ex., konst, hantv.",,"Further Qualification in Arts, Crafts and Design",01.01.1997,
324100,"Käsi- ja taideteollisuuden ammattitutkinto","Yrkesexamen inom hantverk och konstindustri","FQ in Crafts and Design",,"Käsi- ja taideteollisuuden at",,"Y.ex., hantverk o konstind",,"Further Qualification in Crafts and Design",01.01.1997,
324101,"Aseseppäkisällin ammattitutkinto","Vapensmedsgesäll, yrkesexamen","Gunsmith, FQ",,"Aseseppäkisällin at",,"Vapensmedsgesäll, y.ex.",,"Gunsmith, Further Qualification",01.01.1997,
324102,"Hopeasepän ammattitutkinto","Silversmed, yrkesexamen","Silversmith, FQ",,"Hopeasepän at",,"Silversmed, y.ex.",,"Silversmith, Further Qualification",01.01.1997,
324103,"Kaivertajan ammattitutkinto","Gravör, yrkesexamen","Engraver, FQ",,"Kaivertajan at",,"Gravör, y.ex.",,"Engraver, Further Qualification",01.01.1997,
324104,"Keramiikkakisällin ammattitutkinto","Keramikgesäll, yrkesexamen","Ceramist, FQ",,"Keramiikkakisällin at",,"Keramikgesäll, y.ex.",,"Ceramist, Further Qualification",01.01.1997,
324105,"Kiviseppäkisällin ammattitutkinto","Stenhuggargesäll, yrkesexamen","Stonecutter, FQ",,"Kiviseppäkisällin at",,"Stenhuggargesäll, y.ex.",,"Stonecutter, Further Qualification",01.01.1997,
324106,"Koristeveistäjän ammattitutkinto, käsi- ja taideteollisuusala","Finsnickare, yrkesexamen, hantverks- och konstindustribranschen","Ornamental Wood Carv., FQ",,"Koristeveist. at, käsi-taide",,"Finsn., y.ex., hantv.",,"Ornamental Wood Carving, Further Qualification, Crafts and Design",01.01.1997,
324107,"Kultaajakisällin ammattitutkinto","Förgyllare, yrkesexamen","Gilder, FQ",,"Kultaajakisällin at",,"Förgyllare, y.ex.",,"Gilder, Further Qualification",01.01.1997,
324108,"Kultasepän ammattitutkinto","Guldsmed, yrkesexamen","Goldsmith, FQ",,"Kultasepän at",,"Guldsmed, y.ex.",,"Goldsmith, Further Qualification",01.01.1997,
324109,"Lasinpuhaltajakisällin ammattitutkinto","Glasblåsargesäll, yrkesexamen","Glassblower, FQ",,"Lasinpuhaltajakisällin at",,"Glasblåsargesäll, y.ex.",,"Glassblower, Further Qualification",01.01.1997,
324110,"Luonnontieteellisen alan konservoinnin ammattitutkinto","Naturvetenskaplig konservering, yrkesexamen","Animal, Plant, Geol. Cons., FQ",,"Luonnontiet. konservoinnin at",,"Nat.vetensk. konserv., y.ex.",,"Animal, Plant and Geological Conservation, Further Qualification",01.01.1997,
324111,"Maalarin ammattitutkinto, käsi- ja taideteollisuusala","Målare, yrkesexamen, hantverks- och konstindustribranschen","Painter, FQ, Crafts and Des.",,"Maalarin at, käsi-taide",,"Målare, y.ex., hantv.",,"Painter, Further Qualification, Crafts and Design",01.01.1997,
324112,"Mallinrakentajakisällin ammattitutkinto","Modellbyggargesäll, yrkesexamen","Model-Builder, FQ",,"Mallinrakentajakisällin at",,"Modellbyggargesäll, y.ex.",,"Model-Builder, Further Qualification",01.01.1997,
324113,"Neulekisällin ammattitutkinto","Sömnadsgesäll, yrkesexamen","Knitter, FQ",,"Neulekisällin at",,"Sömnadsgesäll, y.ex.",,"Knitter, Further Qualification",01.01.1997,
324114,"Puusepän ammattitutkinto, käsi- ja taideteollisuusala","Snickare, yrkesexamen, hantverks- och konstindustribranschen","Joiner, FQ, Crafts and Des.",,"Puusepän at, käsi-taide",,"Snick., y.ex., hantv.",,"Joiner, Further Qualification, Crafts and Design",01.01.1997,
324115,"Restaurointikisällin ammattitutkinto","Restaureringsgesäll, yrkesexamen","Restorer, FQ",,"Restaurointikisällin at",,"Restaureringsgesäll, y.ex.",,"Restorer, Further Qualification",01.01.1997,
324116,"Romanikulttuurin ohjaajan ammattitutkinto","Instruktör i romankultur, yrkesexamen","Romany Culture Instructor, FQ",,"Romanikulttuurin ohjaajan at",,"Instr. i romankultur, y.ex.",,"Romany Culture Instructor, Further Qualification",01.01.1997,
324117,"Saamenkäsityökisällin ammattitutkinto","Sameslöjdsgesäll, yrkesexamen","Sami Crafts, FQ",,"Saamenkäsityökisällin at",,"Sameslöjdsgesäll, y.ex.",,"Sami Crafts, Further Qualification",01.01.1997,
324118,"Savenvalajakisällin ammattitutkinto","Krukmakargesäll, yrkesexamen","Potter, SQ",,"Savenvalajakisällin at",,"Krukmakargesäll, y.ex.",,"Potter, Further Qualification",01.01.1997,
324119,"Seppäkisällin ammattitutkinto","Smedgesäll, yrkesexamen","Blacksmith, FQ",,"Seppäkisällin at",,"Smedgesäll, y.ex.",,"Blacksmith, Further Qualification",01.01.1997,
324120,"Soitinrakentajakisällin ammattitutkinto","Instrumentbyggargesäll, yrkesexamen","Musical Instrument Builder, FQ",,"Soitinrakentajakisällin at",,"Instr.byggargesäll, y.ex.",,"Musical Instrument Builder, Further Qualification",01.01.1997,
324121,"Studiokutojan ammattitutkinto","Studiovävare, yrkesexamen","Studio Weaver, FQ",,"Studiokutojan at",,"Studiovävare, y.ex.",,"Studio Weaver, Further Qualification",01.01.1997,
324122,"Studio-ompelijan ammattitutkinto","Studiosömmerska, yrkesexamen","Studio Dressmaker, FQ",,"Studio-ompelijan at",,"Studiosömmerska, y.ex.",,"Studio Dressmaker, Further Qualification",01.01.1997,
324123,"Veneenrakentajan ammattitutkinto, käsi- ja taideteollisuusala","Båtbyggare, yrkesexamen, hantverks- och konstindustribranschen","Boat-Builder, FQ, Crafts, Des.",,"Veneenrakent. at, käsi-taide",,"Båtb., y.ex., hantv.",,"Boat-Builder, Further Qualification, Crafts and Design",01.01.1997,
324124,"Värjärikisällin ammattitutkinto","Färgargesäll, yrkesexamen","Dyer, FQ",,"Värjärikisällin at",,"Färgargesäll, y.ex.",,"Dyer, Further Qualification",01.01.1997,
324125,"Puusepänalan ammattitutkinto, käsi- ja taideteollisuusala","Snickeribranschen, yrkesexamen, hantverks- och konstindustribranschen","Joiner, FQ, Crafts and Des.",,"Puusepänalan at, käsi-taide",,"Snickeribr., y.ex., hantv.",,"Joiner, Further Qualification, Crafts and Design",01.01.2003,
324126,"Tekstiilialan ammattitutkinto, käsi- ja taideteollisuusala","Textilbranschen, yrkesexamen, hantverks- och konstindustribranschen","Textiles, FQ, Crafts and Des.",,"Tekstiilialan at, käsi-taide",,"Textilbranschen, y.ex., hantv.",,"Textiles, Further Qualification, Crafts and Design",01.01.2003,
324127,"Vaatetusalan ammattitutkinto, käsi- ja taideteollisuusala","Beklädnadsbranschen, yrkesexamen, hantverks- och konstindustribranschen","FQ in Clothing,Crafts and Des.",,"Vaatetusalan at, käsi-taide",,"Beklädnadsbr., y.ex., hantv.",,"Further Qualification in Clothing, Crafts and Design",01.01.2003,
324128,"Käsityöntekijän ammattitutkinto","Hantverkare, yrkesexamen","Handicrafts, FQ",,"Käsityöntekijän at",,"Hantverkare, y.ex.",,"Handicrafts, Further Qualification",01.01.2006,
324129,"Sisustusalan ammattitutkinto, käsi- ja taideteollisuusala","Inredningsbranschen, yrkesexamen, hantverks- och konstindustribranschen","Inter. Design, FQ, Crafts,Des.",,"Sisustusalan at, käsi-taide",,"Inredningsbr., y.ex., hantv.",,"Interior Design, Further Qualification, Crafts and Design",01.01.2006,
324199,"Muu tai tuntematon käsi- ja taideteollisuuden ammattitutkinto","Annan eller okänd yrkesexamen inom hantverk och konstindustri","Other FQ in Crafts and Design",,"Muu käsi-taideteollisuuden at",,"Ann. y.ex., hantv.",,"Other or Unknown Further Qualification in Crafts and Design",01.01.1997,
324200,"Musiikin ammattitutkinto","Yrkesexamen i musik","Music, FQ",,"Musiikin at",,"Y.ex. i musik",,"Music, Further Qualification",01.01.2006,
324201,"Rytmimusiikkituotannon ammattitutkinto","Producent inom rytmmusik, yrkesexamen","Popular Music Production, FQ",,"Rytmimusiikkituotannon at",,"Producent inom rytmmusik, y.ex",,"Popular Music Production, Further Qualification",01.01.2006,
324300,"Kuvataiteen ammattitutkinto","Yrkesexamen i bildkonst","FQ in Fine Arts",,"Kuvataiteen at",,"Y.ex. i bildkonst",,"Further Qualification in Fine Arts",01.01.1997,
324301,"Valokuvaajan ammattitutkinto","Fotograf, yrkesexamen","Photography, FQ",,"Valokuvaajan at",,"Fotograf, y.ex.",,"Photography, Further Qualification",01.01.1997,
324399,"Muu tai tuntematon kuvataiteen ammattitutkinto","Annan eller okänd yrkesexamen i bildkonst","Other FQ in Fine Arts",,"Muu kuvataiteen at",,"Ann. y.ex., bildkonst",,"Other or Unknown Further Qualification in Fine Arts",01.01.1997,
324500,"Teatteri- ja tanssialan ammattitutkinto","Yrkesexamen inom teater och dans","FQ in Theatre and Dance",,"Teatteri- ja tanssialan at",,"Y.ex. inom teater o dans",,"Further Qualification in Theatre and Dance",01.01.1997,
324501,"Näyttämöassistentin ammattitutkinto","Scenassistent, yrkesexamen","Stage Assistant, FQ",,"Näyttämöassistentin at",,"Scenassistent, y.ex.",,"Stage Assistant, Further Qualification",01.01.1997,
324502,"Teatterialan ammattitutkinto","Teaterbranschen, yrkesexamen","Theatre, FQ",,"Teatterialan at",,"Teaterbranschen, y.ex.",,"Theatre, Further Qualification",01.01.1999,
324599,"Muu tai tuntematon teatteri- ja tanssialan ammattitutkinto","Annan eller okänd yrkesexamen inom teater och dans","Other FQ in Theatre and Dance",,"Muu teatteri- ja tanssialan at",,"Ann. y.ex., teater o dans",,"Other or Unknown Further Qualification in Theatre and Dance",01.01.1997,
324600,"Viestintäalan ammattitutkinto","Yrkesexamen inom mediekultur","FQ in Communications",,"Viestintäalan at",,"Y.ex. inom mediekultur",,"Further Qualification in Communications",01.01.1997,
