"ARVO","NIMI_FI","NIMI_SV","NIMI_EN","KUVAUS_FI","LYHYTNIMI_FI","KUVAUS_SV","LYHYTNIMI_SV","KUVAUS_EN","LYHYTNIMI_EN","ALKUPVM","LOPPUPVM"
651902,"Insinööri (AMK), graafinen ja viestintätekniikka","Ingenjör (YH), grafisk teknik och medieteknik","BEng (Poly), Graphics",,"Ins. (AMK), graaf.,viest.tekn.",,"Ingenjör (YH), graf.,medietekn",,"Bachelor of Engineering (Polytechnic), Graphics and Communications Technology",01.01.1997,
651999,"Insinööri (AMK), muu tai tuntematon tekniikka","Ingenjör (YH), annat eller okänt tekniskt område","BEng (Poly), Other Tech.",,"Ins. (AMK), muu tekniikka",,"Ingenjör (YH), ann. tekn. omr.",,"Bachelor of Engineering (Polytechnic), Other or Unknown Technology",01.01.1997,
652000,"Muu tekniikan ammattikorkeakoulututkinto","Annan yrkeshögskoleexamen i teknik","Other Bach (Poly), Technology",,"Muu tekniikan AMK",,"Ann. y.h.ex. i teknik",,"Other Polytechnic Bachelor's Degree in Technology",01.01.1997,
652100,"Rakennusmestarin ammattikorkeakoulututkinto","Yrkeshögskoleexamen för byggmästare","BEng (Poly), Buildning Constr.",,"Rakennusmestarin AMK",,"Y.h.ex. för byggmäst.",,"Bachelor of Engineering (Polytechnic), Building Construction",01.01.1997,
652101,"Rakennusmestari (AMK)","Byggmästare (YH)","BEng (Poly), Buildning Constr.",,"Rakennusmestari (AMK)",,"Byggmästare (YH)",,"Bachelor of Engineering (Polytechnic), Building Construction",01.01.1997,
652200,"Miljöösuunnittelun ammattikorkeakoulututkinto","Yrkeshögskoleexamen inom miljöplanering","BEng (Poly), Environm. Design",,"Miljöösuunnittelun AMK",,"Y.h.ex. inom miljöplanering",,"Bachelor of Engineering (Polytechnic), Environmental Design",01.01.1997,
652202,"Miljöösuunnittelija (AMK)","Miljöplanerare (YH)","BEng (Poly), Environm. Design",,"Miljöösuunnittelija (AMK)",,"Miljöplanerare (YH)",,"Bachelor of Engineering (Polytechnic), Environmental Design",01.01.1997,
652300,"Tekstiili- ja vaatetusalan ammattikorkeakoulututkinto","Yrkeshögskoleexamen inom textil- och beklädnadsbranschen","BEng (Poly), Textiles,",,"Tekstiili- ja vaatetusalan AMK",,"Y.h.ex., textil- o bekl.br.",,"Bachelor of Engineering (Polytechnic),Textiles and Fashion Design",01.01.1997,
652301,"Tekstiili- ja vaatetusalan AMK","Textil- och beklädnadsbranschen, YH","BEng (Poly), Textiles,",,"Tekstiili- ja vaatetusalan AMK",,"Textil- o beklädnadsbr., YH",,"Bachelor of Engineering (Polytechnic),Textiles and Fashion Design",01.01.1997,
652400,"Laboratorioalan ammattikorkeakoulututkinto","Yrkeshögskoleexamen inom laboratoriebranschen","BEng (Poly), Lab. Service",,"Laboratorioalan AMK",,"Y.h.ex. inom laboratoriebr.",,"Bachelor of Laboratory Services (Polytechnic)",01.01.1998,
