"KOODIARVO","NIMI_FI","NIMI_SV","ALKUPVM","LOPPUPVM"
"05290","Vesioikeuden syyttäjä","Åklagare i vattendomstol",19.5.2011,
"053","Asianajajat","Advokater",19.5.2011,
"05310","Asianajaja","Advokat",19.5.2011,
"05390","Muut asianajotyötä tekevät","Övriga åklagare",19.5.2011,
"00220","Asennusinsinööri (sähkövoima)","Installationsingenjör (elkraft)",19.5.2011,
"054","Lainopilliset asiantuntijat","Juridiska ombudsmän",19.5.2011,
"05410","Järjestön lakimies","Jurist vid organisation",19.5.2011,
"05410","Lakimies (järjestö)","Jurist vid organisation",19.5.2011,
"05420","Yrityksen lakimies","Företagsjurist",19.5.2011,
"05420","Lakimies (yritys)","Företagsjurist",19.5.2011,
"05420","Pankkilakimies","Bankjurist",19.5.2011,
"05420","Vakuutuslakimies","Försäkringsjurist",19.5.2011,
"05420","Yhtiön lakimies","Bolagsjurist/Företagsjurist",19.5.2011,
"05430","Hallinnon lakimies","Förvaltningsjurist",19.5.2011,
"05430","Hallitussihteeri","Regeringssekreterare",19.5.2011,
"00225","Työnjohtaja (sähkövoima)","Arbetsledare (elkraft)",19.5.2011,
"05490","Muut lakimiehet","Övriga jurister",19.5.2011,
"059","Muu lainopillinen työ","Övrigt juridiskt arbete",19.5.2011,
"05990","Muut lainopillisen työn tekijät","Övriga inom juridiskt arbete",19.5.2011,
"05990","Eduskunnan oikeusasiamies","Riksdagens justitieombudsman",19.5.2011,
"05990","Haastemies","Stämningsman",19.5.2011,
"05990","Ulosottomies","Utmätningsman",19.5.2011,
"06","Toimitus- ja tiedotustyö sekä joukkoviestintä","Journalist-/informatörsarbete, masskommunikation",19.5.2011,
"061","Lehden toimittajat","Journalister",19.5.2011,
"06110","Lehdentoimittaja","Tidningsredaktör",19.5.2011,
"06110","Reportteri","Reporter",19.5.2011,
"00225","Linjamestari (sähkövoima)","Linjemästare (elkraft)",19.5.2011,
"06110","Sanomalehtimies","Journalist",19.5.2011,
"06110","Toimittaja","Redaktör",19.5.2011,
"06110","Toimitussihteeri","Redaktionssekreterare",19.5.2011,
"06120","Toimituspäällikkö","Redaktionschef",19.5.2011,
"06120","Päätoimittaja","Chefredaktör",19.5.2011,
"06130","Kustannustoimittaja","Förlagsredaktör",19.5.2011,
"06130","Kustannusvirkailija","Förlagstjänsteman",19.5.2011,
"06130","Kuvatoimittaja","Bildredaktör",19.5.2011,
"06190","Muut lehdentoimittajat","Övriga tidskriftsredaktörer",19.5.2011,
"062","Ohjelmatoimittajat","Programredaktörer",19.5.2011,
"00225","Sähkömestari","Elmästare",19.5.2011,
"06210","Radio- tai televisio-ohjelmien toimittaja","Radio- eller televisionsredaktör",19.5.2011,
"06210","Kuuluttaja","Speaker",19.5.2011,
"06210","Ohjelmatoimittaja (radio, televisio)","Programredaktör (radio, television)",19.5.2011,
"06210","Tuottaja (radio, televisio)","Producent (radio, television)",19.5.2011,
"06290","Muut ohjelmatoimittajat","Övriga programredaktörer",19.5.2011,
"06290","Videokasettien tuottaja","Producent (videokasetter)",19.5.2011,
"063","Tiedottajat","Informatörer",19.5.2011,
"06310","Tiedottaja","Informatör",19.5.2011,
"06310","Lehdistöasiamies","Pressombudsman",19.5.2011,
"06310","Tiedotusavustaja","Informationsassistent",19.5.2011,
"00225","Sähkötöiden esimies","Elförman",19.5.2011,
"06310","Tiedotuspäällikkö","Informationschef",19.5.2011,
"06310","Tiedotussihteeri","Informationssekreterare",19.5.2011,
"06320","Kulttuurisihteeri","Kultursekreterare",19.5.2011,
"06390","Muut tiedottajat","Övriga informatörer",19.5.2011,
"064","Kuluttajaneuvojat","Konsumentrådgivare",19.5.2011,
"06410","Kunnallinen kuluttajaneuvoja","Kommunal konsumentrådgivare",19.5.2011,
"06410","Kuluttajaneuvoja (kunta)","Konsumentrådgivare (kommun)",19.5.2011,
"06490","Muut kuluttajaneuvojat","Övriga konsumentrådgivare",19.5.2011,
"06490","Kuluttajaneuvoja (kauppa)","Konsumentrådgivare (handel)",19.5.2011,
"06490","Kuluttajakonsultti (kauppa)","Konsumentkonsult (handel)",19.5.2011,
"00225","Yliasentaja","Övermontör",19.5.2011,
"069","Muu toimittaja- ja tiedotustyö, joukkoviestintä","Övrigt redaktörs- o. informatörsarbete, masskommun",19.5.2011,
"06910","Oikolukija","Korrekturläsare",19.5.2011,
"06910","Korjauslukija","Korrekturläsare",19.5.2011,
"06990","Muut toimittaja- ja tiedotustyötä tekevät","Övriga i redaktörs- och informatörsarbete",19.5.2011,
"07","Taide- ja viihdeala","Konstnärligt och underhållande arbete",19.5.2011,
"071","Kirjailijat","Författare",19.5.2011,
"07110","Kirjailija","Författare",19.5.2011,
"07110","Elokuvakirjailija","Filmförfattare",19.5.2011,
"07110","Käsikirjoituksen tekijä","Manuskriptförfattare",19.5.2011,
"07120","Kaunokirjallisuuden kääntäjä","Översättare (skönlitteratur)",19.5.2011,
"00230","Suunnitteluinsinööri (sähkövoima)","Planeringsingenjör (elkraft)",19.5.2011,
"07120","Kääntäjä (kaunokirjallisuus)","Översättare/Translator (skönlitteratur)",19.5.2011,
"07130","Kriitikko","Kritiker",19.5.2011,
"07140","Dramaturgi","Dramaturg",19.5.2011,
"07190","Muut kirjailijat","Övriga författare",19.5.2011,
"07190","Populaarikirjailija","Populärförfattare",19.5.2011,
"00030","Asemakaava-arkkitehti","Stadsplanearkitekt",19.5.2011,
"07190","Sanakirjantekijä","Lexikograf, ordboksförfattare",19.5.2011,
"07190","Sarjakuvalehdenkirjoittaja","Serietidningsförfattare",19.5.2011,
"072","Kuvataiteilijat","Bildkonstnärer",19.5.2011,
"07210","Taidemaalari","Målare",19.5.2011,
"07210","Konservaattori","Konservator",19.5.2011,
"00230","Projektipäällikkö (sähkövoimatekniikka)","Projektchef (elkraftteknik)",19.5.2011,
"07215","Graafikko","Grafiker",19.5.2011,
"07215","Fotograafikko","Fotografiker",19.5.2011,
"07220","Kuvanveistäjä","Skulptör",19.5.2011,
"07220","Veistoskonservaattori","Skulpturkonservator",19.5.2011,
"07225","Graafinen suunnittelija","Grafisk planerare",19.5.2011,
"07230","Taittaja (graafinen työ)","Ombrytare (grafiskt arbete)",19.5.2011,
"07240","Kuvittaja","Illustratör",19.5.2011,
"07245","Elokuvanpiirtäjä","Filmtecknare",19.5.2011,
"07250","Muotipiirtäjä","Modetecknare",19.5.2011,
"07255","Lavastaja","Scenograf",19.5.2011,
"00235","Suunnitteluteknikko (sähkövoima)","Planeringstekniker (elkraft)",19.5.2011,
"07255","Pukusuunnittelija","Kostymtecknare",19.5.2011,
"07255","Teatterin pukusuunnittelija","Kostymtecknare vid teater",19.5.2011,
"07260","Lavastusmestari","Scenografmästare",19.5.2011,
"07260","Lavastusmaalari","Dekormålare",19.5.2011,
"07260","Teatterimaalari","Teatermålare",19.5.2011,
"07260","Elokuvamaalari","Filmmålare",19.5.2011,
"07290","Muut kuvataiteilijat","Övriga bildkonstnärer",19.5.2011,
"07290","Kaavapiirtäjä","Mönsterritare",19.5.2011,
"07290","Pilapiirtäjä","Karikatyrtecknare",19.5.2011,
"07290","Tatuoija","Tatuerare",19.5.2011,
"00240","Tarkastusinsinööri (sähkövoima)","Kontrollingenjör (elkraft)",19.5.2011,
"07290","Värikonsulentti","Färgkonsulent",19.5.2011,
"073","Muotoilijat","Formgivare",19.5.2011,
"07310","Keramiikkataiteilija ja lasitaiteilija","Keramikkonstnär och glaskonstnär",19.5.2011,
"07310","Keramiikkataiteilija","Keramikkonstnär",19.5.2011,
"07310","Lasitaiteilija","Glaskonstnär",19.5.2011,
"07320","Sisustusarkkitehti","Inredningsarkitekt",19.5.2011,
"07320","Sisustus- ja kalustesuunnittelija","Inredningsplanerare och möbelformgivare",19.5.2011,
"07330","Teollinen muotoilija","Industriformgivare",19.5.2011,
"07330","Designer","Designer",19.5.2011,
"07340","Tekstiilitaiteilija","Textilkonstnär",19.5.2011,
"00245","Tarkastusteknikko (sähkövoima)","Kontrolltekniker (elkraft)",19.5.2011,
"07340","Tekstiilikonservaattori","Textilkonservator",19.5.2011,
"07350","Kankaansuunnittelija","Dessinatör",19.5.2011,
"07390","Muut muotoilijat","Övriga formgivare",19.5.2011,
"07390","Muotisuunnittelija","Modeskapare",19.5.2011,
"07390","Taideseppä","Konstsmed",19.5.2011,
"07390","Taidetakoja","Konstsmidesarbetare",19.5.2011,
"074","Valokuvaajat, elokuvaajat","Fotografer, filmfotografer",19.5.2011,
"07410","Ateljeevalokuvaaja","Ateljefotograf",19.5.2011,
"07410","Valokuvaaja","Fotograf",19.5.2011,
"07420","Mainoskuvaaja","Reklamfotograf",19.5.2011,
"00250","Huolto- ja neuvontainsinööri (sähkövoima)","Service- och instruktionsingenjör (elkraft)",19.5.2011,
"07430","Lehtivalokuvaaja","Pressfotograf",19.5.2011,
"07440","Elokuvaaja","Filmfotograf",19.5.2011,
"07440","Kuvaaja (elokuva)","Filmfotograf",19.5.2011,
"07450","Laitoskuvaaja","Institutionsfotograf",19.5.2011,
"07450","Museovalokuvaaja","Museifotograf",19.5.2011,
"07450","Sairaalakuvaaja","Sjukhusfotograf",19.5.2011,
"07450","Tehdasvalokuvaaja","Industrifotograf",19.5.2011,
"07460","Televisiokuvaaja","TV-fotograf",19.5.2011,
"07460","Kameramies","Kameraman",19.5.2011,
"07460","Videokuvaaja","Videofotograf",19.5.2011,
"00255","Huolto- ja neuvontateknikko (sähkövoima)","Service- och instruktionstekniker (elkraft)",19.5.2011,
"07490","Muut valokuvaajat ja elokuvaajat","Övriga fotografer och filmfotografer",19.5.2011,
"07490","Ilmavalokuvaaja","Flygfotograf",19.5.2011,
"07490","Mikrovalokuvaaja","Mikrofilmare",19.5.2011,
"075","Näyttämötaiteilijat","Scenkonstnärer",19.5.2011,
"07510","Näyttelijä","Skådespelare",19.5.2011,
