"KOODIARVO","NIMI_FI","NIMI_SV","ALKUPVM","LOPPUPVM"
"16990","Muut lasten päivähoidon työtä tekevät","Övriga inom barndagvårdsarbete",19.5.2011,
"17","Psykologia","Psykologi",19.5.2011,
"171","Psykologit","Psykologer",19.5.2011,
"17110","Terveydenhoito- ja kuntoutuspsykologi","Hälsovårds- och rehabiliteringspsykolog",19.5.2011,
"17110","Kliininen psykologi","Klinisk psykolog",19.5.2011,
"17110","Kuntoutuspsykologi","Rehabiliteringspsykolog",19.5.2011,
"17110","Neuropsykologi","Neuropsykolog",19.5.2011,
"17110","Terapeuttipsykologi","Psykoterapeut",19.5.2011,
"17110","Terveydenhoitopsykologi","Hälsovårdspsykolog",19.5.2011,
"00390","Viesti-insinööri","Signalingenjör",19.5.2011,
"17110","Terveyskeskuspsykologi","Hälsocentralspsykolog",19.5.2011,
"17120","Työn ja ammattien psykologi","Arbets- och yrkespsykolog",19.5.2011,
"17120","Ammatinvalintapsykologi","Yrkesvalspsykolog",19.5.2011,
"17120","Henkilöstöhallintopsykologi","Personaladministrationspsykolog",19.5.2011,
"17120","Tutkimuspsykologi","Forskningspsykolog",19.5.2011,
"17120","Työpsykologi","Arbetspsykolog",19.5.2011,
"17130","Opetus- ja kasvatuspsykologi","Undervisnings- och uppfostringspsykolog",19.5.2011,
"17130","Kasvatuspsykologi","Uppfostringspsykolog",19.5.2011,
"17130","Koulupsykologi","Skolpsykolog",19.5.2011,
"17130","Opetuspsykologi","Undervisningspsykolog",19.5.2011,
"00395","Muut elektroniikan ja tietotekniikan teknikot","Övriga tekniker inom elektronik och datateknik",19.5.2011,
"17130","Perheneuvolapsykologi","Familjerådgivningsgpsykolog",19.5.2011,
"17130","Tutkimuspsykologi","Forskningspsykolog",19.5.2011,
"17130","Kasvatusneuvolapsykologi","Uppfostringsrådgivningspsykolog",19.5.2011,
"17190","Muut psykologit","Andra psykologer",19.5.2011,
"179","Muu psykologinen työ","Övrigt psykologarbete",19.5.2011,
"17990","Muut psykologisen työn tekijät","Övrigt psykologarbete",19.5.2011,
"18","Harrastustoiminnan ohjaus ja ammattimainen urheilu","Ledning av hobbyverksamhet och profession. idrott",19.5.2011,
"181","Nuoriso- ja raittiustoimien ohjaajat","Ungdoms- och nykterhetsledare",19.5.2011,
"18110","Nuoriso-ohjaaja","Ungdomsledare",19.5.2011,
"18110","Nuorisosihteeri","Ungdomssekreterare",19.5.2011,
"00395","Elektroniikkateknikko","Elektroniktekniker",19.5.2011,
"18110","Toiminnanohjaaja","Verksamhetsinstruktör",19.5.2011,
"18110","Vapaa-ajanohjaaja","Fritidsinstruktör",19.5.2011,
"18110","Kerho-ohjaaja","Klubbledare",19.5.2011,
"18110","Nuorisotaloisäntä","Ungdomsgårdsvärd",19.5.2011,
"18120","Raittiussihteeri","Nykterhetssekreterare",19.5.2011,
"18120","Raittiusohjaaja","Nykterhetsinstruktör",19.5.2011,
"18120","Raittiusneuvoja","Nykterhetskonsulent",19.5.2011,
"18190","Muut nuoriso- ja raittiustoimen ohjaajat","Övriga ungdoms- och nykterhetsledare",19.5.2011,
"18190","Kerhoapulainen","Klubbiträde",19.5.2011,
"182","Urheilu- ja liikuntatoimen ohjaajat","Sport- och idrottsinstruktörer",19.5.2011,
"00395","Teleteknikko","Teletekniker",19.5.2011,
"18210","Liikunnanohjaaja","Idrottsinstruktör",19.5.2011,
"18210","Golfinopettaja","Golflärare",19.5.2011,
"18210","Hiihdonopettaja","Skidlärare",19.5.2011,
"18210","Liikuntasihteeri","Idrottssekreterare",19.5.2011,
"18210","Uimaopettaja","Simlärare",19.5.2011,
"18210","Urheiluohjaaja","Idrottsinstruktör",19.5.2011,
"18290","Muut liikunnanohjaajat ja valmentajat","Övriga idrottsinstruktörer och tränare",19.5.2011,
"189","Muu harrastustoiminnan ohjaus, ammattiurheilu","Övrigt hobbyledarverksamhet och professionell idro",19.5.2011,
"18990","Muut harrastustoim ohjausta ja amm. urheilutyötä t","Övriga hobbyledarverksamhet och professionell idro",19.5.2011,
"00395","Tietokoneteknikko","Datatekniker",19.5.2011,
"18990","Kotiteollisuusohjaaja","Hemslöjdsinstruktör",19.5.2011,
"18990","Vapaa-ajantoimenohjaaja","Instruktör för fritidsverksamhet",19.5.2011,
"19","Muu terveydenhuolto ja sosiaaliala","Övrigt hälsovård och den sociala sektorn",19.5.2011,
"191","Apuvälineiden valmistajat","Tillverkare av hjälpmedel",19.5.2011,
"19110","Optikko","Optiker",19.5.2011,
"19110","Instrumenttioptikko","Instrumentoptiker",19.5.2011,
"19110","Optikon apulainen","Optikerbiträde",19.5.2011,
"19120","Hammasteknikko","Tandtekniker",19.5.2011,
"19120","Erikoishammasteknikko","Specialtandtekniker",19.5.2011,
"19130","Apuneuvoteknikko","Hjälpmedelstekniker",19.5.2011,
"00395","Piirilevysuunnittelija","Kretskortplanerare",19.5.2011,
"19190","Muut apuvälineiden valmistajat","Övriga tillverkare av hjälpmedel",19.5.2011,
"19190","Hammaslaborantti","Tandlaborant",19.5.2011,
"19190","Hammasteknikkoapulainen","Tandteknikerbiträde",19.5.2011,
"199","Muu terveydenhuollon ja sosiaalialan työ","Övrigt hälsovårds- och socialarbete",19.5.2011,
"19990","Muut terveydenhuollon ja sosiaalialan työntekijät","Övriga inom hälsovårds- och socialarbete",19.5.2011,
"19990","Vammaisten avustaja","Biträde för handikappade",19.5.2011,
"19990","Ulkoiluttaja","Ledsagare",19.5.2011,
"2","Hallinto-, toimisto-, matkailu- ja IT-alan työ","Administration, kontor, turism, IT",19.5.2011,
"20","Julkisen hallinnon johtaminen","Ledning inom offentlig förvaltning",19.5.2011,
"201","Valtionhallinnon johtavat virkamiehet","Ledande tjänstemän inom statsförvaltning",19.5.2011,
"004","Koneinsinöörit ja -teknikot","Ingenjörer och tekniker i mekaniskt-tekniskt arb.",19.5.2011,
"20110","Viraston päällikkö","Chef (ämbetsverk)",19.5.2011,
"20110","Hallitusneuvos","Regeringsråd",19.5.2011,
"20110","Kansliapäällikkö","Kanslichef",19.5.2011,
"20110","Maaherra","Landshövding",19.5.2011,
"20110","Osastopäällikkö (valtionhallinto)","Avdelningschef (statsförvaltning)",19.5.2011,
"20110","Pääjohtaja (valtionhallinto)","Generaldirektör (statsförvaltning)",19.5.2011,
"20110","Suunnittelupäällikkö (valtionhallinto)","Planeringschef (statsförvaltning)",19.5.2011,
"20110","Toimistopäällikkö (valtionhallinto)","Byråchef (statsförvaltning)",19.5.2011,
"20110","Työvoimapiirin päällikkö","Chef för arbetskraftsdistrikt",19.5.2011,
"20110","Ylijohtaja","Överdirektör",19.5.2011,
"00410","Koneinsinööri","Maskiningenjör",19.5.2011,
"20120","Esittelijä, tarkastaja, suunnittelija tms.","Föredragande, inspektör, planerare m.m.",19.5.2011,
"20120","Esittelijä","Föredragande",19.5.2011,
"20120","Hallitussihteeri","Regeringssekreterare",19.5.2011,
"20120","Lääninneuvos","Länsråd",19.5.2011,
"20120","Piiritarkastaja (valtionhallinto)","Distriktsinspektör (statsförvaltning)",19.5.2011,
"001","Rakennusinsinöörit ja -teknikot","Byggnadsingenjörer och tekniker",19.5.2011,
"20120","Suunnittelija (valtionhallinto)","Planerare (statsförvaltning)",19.5.2011,
"20120","Suunnittelusihteeri (valtionhallinto)","Planeringssekreterare (statsförvaltning)",19.5.2011,
"20120","Tarkastaja (valtionhallinto)","Inspektör (statsförvaltning)",19.5.2011,
"20120","Ylitarkastaja (valtionhallinto)","Överinspektör (statsförvaltning)",19.5.2011,
"20190","Muut valtion hallinnon johtavat virkamiehet","Övriga ledande tjänsteman inom statsförvaltningen",19.5.2011,
"00410","Konepiirustusten tarkastaja","Granskare av maskinritningar",19.5.2011,
"20190","Kansanedustaja","Riksdagsledamot",19.5.2011,
"20190","Ministeri","Minister",19.5.2011,
"202","Kunnallishallinnon johtavat virkamiehet","Ledande tjänstemän inom kommunal förvaltning",19.5.2011,
"20210","Kunnanjohtaja, kaupunginjohtaja","Kommundirektör, stadsdirektör",19.5.2011,
"20210","Apulaiskaupunginjohtaja","Biträdande stadsdirektör",19.5.2011,
"20210","Kaupunginjohtaja","Stadsdirektör",19.5.2011,
"20210","Kunnanjohtaja","Kommundirektör",19.5.2011,
"20210","Seutukaavajohtaja","Regionplanechef",19.5.2011,
"20220","Hallintokunnan päällikkö","Chef för förvaltningsgren",19.5.2011,
"20220","Elinkeinoasiamies","Näringsombudsman",19.5.2011,
"00410","Autoinsinööri","Bilingenjör",19.5.2011,
"20220","Koulutoimenjohtaja","Skoldirektör",19.5.2011,
"20220","Kunnansihteeri","Kommunsekreterare",19.5.2011,
"20220","Sairaalatoimenjohtaja","Direktör för hälsovårdsväsendet",19.5.2011,
"20220","Sosiaalitoimenjohtaja","Socialdirektör",19.5.2011,
"20220","Suunnittelusihteeri (kunnallishallinto)","Planeringssekreterare (kommunal förvaltning)",19.5.2011,
"20220","Tutkimussihteeri (kunnallishallinto)","Utredningssekreterare (kommunal förvaltning)",19.5.2011,
"20220","Terveystoimenjohtaja","Direktör för hälsovårdsväsendet",19.5.2011,
"20220","Kansanterveystyön johtava lääkäri","Ledande läkare inom folkhälsoarbetet",19.5.2011,
"20220","Hallintopäällikkö","Förvaltningschef",19.5.2011,
"20220","Elinkeinojohtaja","Näringsdirektör",19.5.2011,
"00410","Standardointi-insinööri","Standardiseringsingenjör",19.5.2011,
"20220","Kaupunginkamreeri","Stadskamrer",19.5.2011,
"20220","Kunnankamreeri","Kommunkamrer",19.5.2011,
"20220","Sosiaalijohtaja (kunta)","Socialdirektör (kommun)",19.5.2011,
"20220","Kulttuuritoimenjohtaja","Kulturdirektör",19.5.2011,
"20220","Nuorisotoimenjohtaja","Ungdomsdirektör",19.5.2011,
"20220","Liikuntatoimenjohtaja","Idrottsdirektör",19.5.2011,
"20220","Energialaitoksen johtaja","Direktör för energiverk",19.5.2011,
"20220","Suunnittelupäällikkö (kunnallishallinto)","Planeringschef (kommunal förvaltning)",19.5.2011,
"20220","Kansliapäällikkö (kunnallishallinto)","Kanslichef (kommunal förvaltning)",19.5.2011,
"20290","Muut kunnallishallinnon johtavat virkamiehet","Övriga ledande tjänsteman inom kommunal förvaltnin",19.5.2011,
"00420","Tuotantoinsinööri (kone)","Produktionsingenjör (maskin)",19.5.2011,
"209","Muu julkisen hallinnon johtotyö","Övrigt ledarskap inom offentlig förvaltning",19.5.2011,
"20990","Muut julkishallinnon johtajat","Övriga chefer inom offentlig förvaltning",19.5.2011,
"20990","Verojohtaja","Skattedirektör",19.5.2011,
"20990","Kylätyöntekijä","Byanställd",19.5.2011,
"21","Liikeyritysten ja järjestöjen johtaminen","Ledning inom affärsföretag och organisationer",19.5.2011,
"211","Yrittäjät","Företagare",19.5.2011,
"00420","Konepajainsinööri","Verkstadsingenjör",19.5.2011,
"21115","Yrittäjä","Företagare",19.5.2011,
"00425","Työnjohtaja (kone)","Arbetsledare (maskin)",19.5.2011,
"00425","Autokorjaamon päällikkö","Chef för bilverkstad",19.5.2011,
"212","Järjestöjen ja liittojen johtajat","Organisations- och förbundsledare",19.5.2011,
"21210","Järjestön puheenjohtaja, johtaja, toiminnanjohtaja","Ordförande,ledare,verksamhetsledare (organisation)",19.5.2011,
"21210","Järjestöpäällikkö","Organisationschef",19.5.2011,
"21210","Liittosihteeri","Förbundssekreterare",19.5.2011,
"21210","Puoluesihteeri","Partisekreterare",19.5.2011,
"21210","Pääsihteeri (järjestö)","Generalsekreterare (organisation)",19.5.2011,
"00430","Suunnitteluinsinööri (kone)","Planeringsingenjör (maskin)",19.5.2011,
"21210","Johtaja (järjestö)","Ledare (organisation)",19.5.2011,
"21210","Toiminnanjohtaja (järjestö)","Verksamhetsledare (organisation)",19.5.2011,
"21290","Muut järjestöjen ja liittojen johtajat","Övriga ledare för organisationer och förbund",19.5.2011,
"219","Muu liikeyritysten ja järjestöjen johtotyö","Övrig ledning av affärsföretag och organisationer",19.5.2011,
"21990","Muut liikeyritysten ja järjestöjen johtajat","Övriga ledare av affärsföretag och organisationer",19.5.2011,
"22","Henkilöstöhallinto ja työnvälitys","Personaladministration och arbetsförmedling",19.5.2011,
"221","Työnvälitystyö","Arbetsförmedling",19.5.2011,
"22110","Työvoima- tai työnvälitystoimiston johtaja","Direktör för arb.krafts- eller arb.förmedlingsbyrå",19.5.2011,
"22110","Työvoimatoimiston hoitaja","Byråföreståndare",19.5.2011,
"22120","Työvoimaneuvoja, työnvälittäjä","Arbetskraftskonsulent, arbetsförmedlare",19.5.2011,
"00430","Projektipäällikkö (konetekniikka)","Projektchef (maskinteknik)",19.5.2011,
"22120","Erikoistyövoimaneuvoja","Specialarbetskraftskonsulent",19.5.2011,
"22120","Johtava työvoimaneuvoja","Ledande arbetskraftskonsulent",19.5.2011,
"22130","Kuntoutusohjaaja","Rehabiliteringsinstruktör",19.5.2011,
"22130","Kuntoutusneuvoja","Rehabiliteringshandledare",19.5.2011,
"22190","Muut työnvälittäjät","Övriga arbetsförmedlare",19.5.2011,
"222","Henkilöstöhallinto","Personalärenden",19.5.2011,
"22210","Työhönottaja","Personalanställare/Personalrekryterare",19.5.2011,
"22220","Henkilöstöasioiden hoitaja","Handläggare av personalärenden",19.5.2011,
"22220","Työnsuunnittelija","Arbetsplanerare",19.5.2011,
"22230","Henkilöstökonsultti","Personalkonsult",19.5.2011,
"00435","Suunnitteluteknikko (kone)","Planeringstekniker (maskin)",19.5.2011,
"22290","Muut henkilöstöhallinnon työntekijät","Övriga inom personaladministration",19.5.2011,
"229","Muu henkilöstöhallinto ja työnvälitystyö","Övrig personaladministration och arbetsförmedling",19.5.2011,
"22990","Muut henkilöstöhall. ja työnvälityksen työntekijät","Övriga inom personaladministration och arbetsförme",19.5.2011,
"23","Taloushallinnon suunnittelu ja tilinpito","Planering och redovisning inom ekonomiförvaltning",19.5.2011,
"231","Taloushallinnon suunnittelijat, kustannuslaskijat","Planerare, kostnadsberäknare inom ekonomiförvaltn.",19.5.2011,
"00110","Rakennusinsinööri","Byggnadsingenjör",19.5.2011,
"23110","Hallintosuunnittelija","Förvaltningsplanerare",19.5.2011,
"23110","Hallinnon rationaalistaja","Förvaltningsrationaliserare",19.5.2011,
"23110","Konttorirationaalistaja","Kontorsrationaliserare",19.5.2011,
"23110","Hallintokonsultti","Förvaltningskonsult",19.5.2011,
"23120","Laskentatoimen suunnittelija","Redovisningsplanerare",19.5.2011,
"00440","Tarkastusinsinööri (kone)","Kontrollingenjör (maskin)",19.5.2011,
"23120","Budjettisuunnittelija","Budgetplanerare",19.5.2011,
"23120","Laskentaekonomi","Redovisningsekonom",19.5.2011,
"23120","Taloushallinnon suunnittelija","Planerare inom ekonomiförvaltning",19.5.2011,
"23120","Taloussihteeri","Ekonomisekreterare",19.5.2011,
"23130","Kustannuslaskija","Kostnadsberäknare",19.5.2011,
"23130","Tarjousinsinööri","Offertingenjör",19.5.2011,
"23130","Urakanhinnoittelija","Ackordsättare",19.5.2011,
"23140","Tilausten käsittelijä","Orderbehandlare",19.5.2011,
"23140","Luotonvalvoja","Kreditövervakare",19.5.2011,
"23140","Tilausten valvoja","Orderövervakare",19.5.2011,
"00445","Tarkastusteknikko (kone)","Kontrolltekniker (maskin)",19.5.2011,
"23150","Hinnoittelija","Prissättare",19.5.2011,
"23160","Kustannusyhtiön faktori","Förlagsfaktor",19.5.2011,
"23160","Faktori (kustannusyhtiö)","Förlagsfaktor",19.5.2011,
"23160","Painotuotefaktori","Trycksaksfaktor",19.5.2011,
"23190","Muut taloushallinnon suunnittelijat ja kustannusla","Övriga planerare och kostnadsberäknare inom ekonom",19.5.2011,
"232","Tilintarkastajat","Revisorer",19.5.2011,
"23210","Tilintarkastaja","Revisor",19.5.2011,
"23210","Reviisori","Revisor",19.5.2011,
"23210","Ylireviisori","Överrevisor",19.5.2011,
"23290","Muut tilintarkastajat","Övriga revisorer",19.5.2011,
"00450","Huolto- ja neuvontainsinööri (kone)","Service- och instruktionsingenjör (maskin)",19.5.2011,
"23290","Laskuntarkastaja","Fakturagranskare",19.5.2011,
"23290","Revisioapulainen","Revisionsbiträde",19.5.2011,
"23290","Tarkastusviraston virkamies","Tjänsteman vid statens revisionsverk",19.5.2011,
"233","Tilinpitotyö","Räkenskapspersonal",19.5.2011,
"23310","Kirjanpitäjä","Bokförare",19.5.2011,
"23310","Budjettiapulainen","Budgetbiträde",19.5.2011,
"23310","Kirjanpitäjäkonttoristi","Bokföringskontorist",19.5.2011,
"23310","Konekirjanpitäjä","Maskinbokförare",19.5.2011,
"23310","Pääkirjanpitäjä","Huvudbokförare",19.5.2011,
"23315","Reskontranhoitaja","Reskontrabokförare",19.5.2011,
"00455","Huolto- ja neuvontateknikko (kone)","Service- och instruktionstekniker (maskin)",19.5.2011,
"23320","Palkanlaskija","Löneräknare",19.5.2011,
"23320","Palkkakirjanpitäjä","Lönebokförare",19.5.2011,
"23330","Varastokirjanpitäjä","Lagerbokförare",19.5.2011,
"23340","Kassanhoitaja (konttori)","Kassör (kontor)",19.5.2011,
"23340","Kirkon kassanhoitaja","Kyrkokassör",19.5.2011,
"23340","Rahastonhoitaja (järjestön, yhdistyksen)","Kassör (organisation, förening)",19.5.2011,
"23340","Satamakassanhoitaja","Hamnkassör",19.5.2011,
"23390","Muu tilinpitotyö","Övrig redovisning",19.5.2011,
"23390","Tuntikirjuri","Tidskrivare",19.5.2011,
"239","Muu taloushallinnon suunnittelu- ja tilinpitotyö","Övrigt planerings- o redovisningsarb inom ekonomif",19.5.2011,
"00460","Työntutkimusinsinööri (kone)","Arbetsstudieingenjör (maskin)",19.5.2011,
"23910","Luottoneuvoja","Kreditkonsult",19.5.2011,
"23910","Osamaksuneuvottelija","Avbetalningsförhandlare",19.5.2011,
"23910","Tilipalvelun hoitaja","Kontotjänstföreståndare",19.5.2011,
"23920","Maksujenperijä","Inkasserare",19.5.2011,
"23930","Ulosottovirkailija","Exekutionstjänsteman",19.5.2011,
"23990","Muut taloushallinnon suunnittelu- ja tilinpitotyöt","Övriga inom placering och redovisning inom ekonomi",19.5.2011,
"24","Sihteeri- ja toimistotyö","Sekreterar- och kontorsarbete",19.5.2011,
"241","Sihteerit","Sekreterare",19.5.2011,
"24110","Sihteeri","Sekreterare",19.5.2011,
"24110","Sihteeri (johdon sihteeri)","Direktionssekreterare",19.5.2011,
"00460","Rationaalistamisinsinööri (kone)","Rationaliseringsingenjör (maskin)",19.5.2011,
"24110","Sihteeri (johtajan sihteeri)","Sekreterare",19.5.2011,
"24110","Sihteeri (lakiasiainsihteeri)","Advokatsekreterare",19.5.2011,
"24110","Yksityissihteeri","Privatsekreterare",19.5.2011,
"24110","Sihteeri (johdon assistentti)","Direktionsassistent",19.5.2011,
"24110","Sihteeri (lääkärin sihteeri)","Läkarsekreterare",19.5.2011,
"24110","Autosihteeri","Bilsekreterare",19.5.2011,
"24120","Osasto- ja toimistosihteeri","Avdelnings- och byråsekreterare",19.5.2011,
"24120","Osastosihteeri","Avdelningssekreterare",19.5.2011,
"24120","Toimistosihteeri","Byråsekreterare",19.5.2011,
"24130","Kirjeenvaihtaja","Korrespondent",19.5.2011,
"00460","Valmisteluinsinööri (kone)","Beredningsingenjör (maskin)",19.5.2011,
"24130","Ulkomaankirjeenvaihtaja","Utrikeskorrespondent",19.5.2011,
"24130","Vientikirjeenvaihtaja","Exportkorrespondent",19.5.2011,
"24190","Muut sihteerit","Övriga sekreterare",19.5.2011,
"242","Toimistotyöntekijät","Kontorspersonal",19.5.2011,
"24205","Toimistonhoitaja","Kontorsföreståndare",19.5.2011,
"24210","Toimistotyöntekijä","Kontorsarbetare/Kontorsanställd",19.5.2011,
"24210","Apulaiskanslisti","Biträdande kanslister",19.5.2011,
"24210","Kanslisti","Kanslist",19.5.2011,
"24210","Toimistoapulainen","Byråbiträde",19.5.2011,
"24210","Toimistovirkailija","Byråfunktionär",19.5.2011,
"00465","Työntutkimusteknikko (kone)","Arbetsstudietekniker (maskin)",19.5.2011,
"24210","Yleiskonttoristi","Ej specialiserad kontorist/Allmänkontorist",19.5.2011,
"24220","Toimistotyöntekijä (kirjaaja)","Registrator",19.5.2011,
"24230","Tilastonlaatija","Statistikförare",19.5.2011,
"24230","Rekisterinpitäjä","Registerförare",19.5.2011,
"24240","Laskuapulainen","Fakturabiträde",19.5.2011,
"24240","Tilastoapulainen","Statistikbiträde",19.5.2011,
"24240","Tilastonpitäjä","Statistiker",19.5.2011,
"24290","Muut toimistotyöntekijät","Övriga kontorspersonal",19.5.2011,
"24290","Kuormakirjuri","Lastskrivare",19.5.2011,
"24290","Kuormalaskija","Lasträknare",19.5.2011,
"00465","Rationaalistamisteknikko (kone)","Rationaliseringstekniker (maskin)",19.5.2011,
"243","Tekstinkäsittelijät","Textbehandlare",19.5.2011,
"24310","Tekstinkäsittelijä, konekirjoittaja","Textbehandlare, maskinskrivare",19.5.2011,
"24310","Konekirjoittaja","Maskinskrivare",19.5.2011,
"24310","Tekstinkäsittelijä","Textbehandlare",19.5.2011,
"24320","Laskuttaja","Fakturerare",19.5.2011,
"24390","Muut tekstinkäsittelijät","Övriga textbehandlare",19.5.2011,
"24390","Pikakirjoittaja","Stenograf",19.5.2011,
"24390","Pistekirjoituskonttoristi","Punktskriftskontorist",19.5.2011,
"244","Toimistovahtimestarit","Kanslivaktmästare",19.5.2011,
"24410","Toimistovahtimestari","Kanslivaktmästare",19.5.2011,
"00465","Työntutkija (kone)","Arbetsstudieman (maskin)",19.5.2011,
"24410","Virastomestari","Ämbetsverksmästare",19.5.2011,
"24420","Toimistolähetti","Kontorsbud",19.5.2011,
"24420","Sisälähetti","Innebud",19.5.2011,
"24430","Monistaja","Duplicerare",19.5.2011,
"24490","Muut toimistovahtimestarit","Övriga kanslivaktmästare",19.5.2011,
"00110","Rakennuspiirustusten tarkastaja","Byggnadsritningsgranskare",19.5.2011,
"24490","Automaatin hoitaja","Automatskötare",19.5.2011,
"249","Muu sihteeri- ja toimistotyö","Övrigt sekreterar- och kontorsarbete",19.5.2011,
"24910","Postittaja","Postavsändare",19.5.2011,
"24990","Muut sihteeri- ja toimistotyötä tekevät","Övriga sekreterare och kontorister",19.5.2011,
"25","Tietotekniikka","Datateknik",19.5.2011,
"00465","Urakkahinnoittelija (kone)","Ackordsättare (maskin)",19.5.2011,
"251","Tietotekniikkapäälliköt","Datachefer",19.5.2011,
"25110","Atk-päällikkö","Datachef",19.5.2011,
"25110","Käyttöpäällikkö (atk)","Driftchef (adb)",19.5.2011,
"25110","Atk-turvallisuuspäällikkö","Datasäkerhetschef",19.5.2011,
"00470","Katsastusmies","Besiktningsman",19.5.2011,
"00470","Katsastusinsinööri","Besiktningsingenjör",19.5.2011,
"25190","Muut tietotekniikkapäälliköt","Övriga datachefer",19.5.2011,
"25190","Tietokoneneuvoja","Datakonsulent",19.5.2011,
"25190","Tietokoneohjaaja","Datainstruktör",19.5.2011,
"00475","Katsastusteknikko","Besiktningstekniker",19.5.2011,
"25190","Atk-yleishenkilö","All-round-konsult (adb)",19.5.2011,
"252","Suunnittelijat","Planerare",19.5.2011,
"00480","LVI-insinööri","VVS-ingenjör",19.5.2011,
"25290","Muut suunnittelijat","Övriga planerare",19.5.2011,
"25290","Tuotannonvalvoja","Produktionsövervakare",19.5.2011,
"25290","Tietoliikennevalvoja","Datakommunikationsövervakare",19.5.2011,
"00","Tekniikan ala","Tekniskt arbete",19.5.2011,
"253","Operaattorit ja mikrotukihenkilöt","Datamaskinsoperatörer och PC-samordnare",19.5.2011,
"00485","LVI-teknikko","VVS-tekniker",19.5.2011,
"25315","Operoiva tallentaja","Dataregistrator",19.5.2011,
"25390","Muut operaattorit ja mikrotukihenkilöt","Övriga operatörer och PC-samordnare",19.5.2011,
"00486","Koeajaja","Provkörare",19.5.2011,
"259","Muu tietotekninen työ","Övrigt datatekniskt arbete",19.5.2011,
"25990","Muut tietotekniset työntekijät","Övriga inom datateknik",19.5.2011,
"26","Pankki- ja vakuutusala","Bank- och försäkringsbranschen",19.5.2011,
"261","Pankkitoimihenkilöt","Banktjänstemän",19.5.2011,
"26110","Konttorinhoitaja (pankki)","Filialchef (bank)",19.5.2011,
"26110","Kamreeri (pankki)","Kamrer (bank)",19.5.2011,
"26110","Osastopäällikkö (pankki)","Avdelningschef (bank)",19.5.2011,
"26120","Pankkitoimihenkilö","Banktjänsteman",19.5.2011,
"26120","Pankin kassanhoitaja","Bankkassör",19.5.2011,
"26190","Muut pankkitoimihenkilöt","Övriga banktjänsteman",19.5.2011,
"00486","Autontestaaja","Biltestare",19.5.2011,
"262","Vakuutustoimihenkilöt","Försäkringstjänstemän",19.5.2011,
"26210","Vahinkotarkastaja","Skadeinspektör",19.5.2011,
"26210","Vahinkoarvioija","Skadereglerare",19.5.2011,
"26220","Vakuutusvirkailija","Försäkringstjänsteman",19.5.2011,
"26230","Vakuutustarkastaja","Försäkringsinspektör",19.5.2011,
"26230","Aluepäällikkö (vakuutus)","Regionchef (försäkring)",19.5.2011,
"26230","Piiripäällikkö (vakuutus)","Distriktschef (försäkring)",19.5.2011,
"26230","Yritysmyyntipäällikkö (vakuutus)","Företagsförsäljningschef (försäkring)",19.5.2011,
"26230","Myyntineuvottelija (vakuutus)","Försäljningsförhandlare (försäkring)",19.5.2011,
"26290","Muut vakuutustoimihenkilöt","Övriga försäkringstjänstemän",19.5.2011,
"00487","Laivankatsastaja","Fartygsinspektör",19.5.2011,
"26290","Jälleenvakuutusten välittäjä","Återförsäkringsförmedlare",19.5.2011,
"26290","Vakuutusasiamies","Försäkringsombudsman",19.5.2011,
"26290","Vakuutustoimitsija","Försäkringsfunktionär",19.5.2011,
"263","Sosiaalivakuutusvirkailijat","Socialförsäkringstjänstemän",19.5.2011,
"26310","Paikalliskonttorin hoitaja (sosiaalivakuutus)","Lokalbyråföreståndare (socialförsäkring)",19.5.2011,
"26310","Apulaispäällikkö (sosiaalivakuutus)","Biträdande chef (socialförsäkring)",19.5.2011,
"26320","Sosiaalivakuutusvirkailija, asiakaspalvelu","Socialförsäkringstjänsteman, kundtjänst",19.5.2011,
"26320","Eläkeneuvoja","Pensionsrådgivare",19.5.2011,
"26320","Etuuskäsittelijä","Förmånshandläggare",19.5.2011,
"26320","Sairausvakuutusvirkailija","Sjukförsäkringstjänsteman",19.5.2011,
"00487","Varustamon tarkastaja","Rederiinspektör",19.5.2011,
"26320","Sosiaalivakuutusvirkailija","Socialförsäkringstjänsteman",19.5.2011,
"26320","Työttömyyskassavirkailija","Arbetslöshetskassatjänsteman",19.5.2011,
"26320","Toimistosihteeri (Kela)","Byråsekreterare (Fpa)",19.5.2011,
"26390","Muut sosiaalivakuutusvirkailijat","Övriga socialförsäkringstjänstemän",19.5.2011,
"269","Muu pankki- ja vakuutusalan työ","Övrigt bank- och försäkringsarbete",19.5.2011,
"00110","Talonrakennusinsinööri","Husbyggnadsingenjör",19.5.2011,
"26990","Muut pankki- ja vakuutusalan työntekijät","Övriga inom bank- och försäkringsbranschen",19.5.2011,
"27","Matkailuala","Arbete inom turism",19.5.2011,
"271","Matkailupäälliköt ja -virkailijat","Turistchefer och -tjänstermän",19.5.2011,
"27110","Matkailupäällikkö","Turistchef",19.5.2011,
"27120","Matkailutoimiston virkailija","Turistbyråtjänsteman",19.5.2011,
"00490","Muut koneinsinöörit","Övriga maskiningenjörer",19.5.2011,
"27120","Matkailuasiamies","Turistombud",19.5.2011,
"27120","Matkailusihteeri","Turistsekreterare",19.5.2011,
"27190","Muut matkailupäälliköt ja -virkailijat","Övriga turistchefer och -tjänstemän",19.5.2011,
"272","Matkatoimistovirkailijat","Resebyråtjänstemän",19.5.2011,
"27210","Matkatoimistovirkailija","Resebyråtjänsteman",19.5.2011,
